Year;Country;Arrivals from foreign countries(german);Departures to foreign countries(german);Arrivals from foreign countries;Departures to foreign countries
2022;Congo, The Democratic Republic of the;31;25;657;263
2022;Libya;53;101;1965;1214
2022;Morocco;412;457;9946;4387
2022;Niger;30;13;160;108
2022;Cameroon;94;81;2781;972
2022;South Africa;986;623;2740;1155
2022;Rwanda;43;41;714;172
2022;Namibia;233;178;515;291
2022;Senegal;55;54;605;447
2022;Somalia;18;46;2695;112
2022;Tanzania;111;235;593;455
2022;Tunisia;394;317;8606;2543
2022;Uganda;82;75;970;226
2022;Egypt;551;622;9065;3527
2022;Central African Republic;7;21;50;40
2022;Argentina;458;332;4355;1726
2022;Bolivia, Plurinational State;214;357;606;518
2022;Brazil;1125;1204;12773;6757
2022;Chile;533;326;2310;1013
2022;Costa Rica;209;389;595;553
2022;Honduras;27;22;485;130
2022;Canada;1224;2173;4146;6763
2022;Colombia;419;357;6139;1861
2022;Mexico;967;1231;6110;3436
2022;Nicaragua;39;41;402;118
2022;Paraguay;423;1573;742;1749
2022;Peru;376;292;1955;772
2022;Uruguay;79;202;329;328
2022;Venezuela, Bolivarian Republic of;115;108;2787;479
2022;United States;6959;9515;23083;27630
2022;Yemen;19;10;1664;314
2022;Armenia;40;55;2481;1177
2022;Afghanistan, Republic of;160;65;55259;542
2022;Azerbaijan;39;25;4334;1506
2022;Georgia;129;243;11906;6174
2022;Viet Nam;253;335;8872;2355
2022;Korea, Democratic People's Republic;17;17;124;112
2022;India;393;610;48887;10773
2022;Indonesia;270;585;3488;1701
2022;Iraq;682;569;14181;1795
2022;Iran, Islamic Republic of;272;220;19288;1055
2022;Israel;412;496;2702;1799
2022;Japan;482;817;6068;5062
2022;Kazakhstan;2738;496;5084;1389
2022;Jordan;271;238;3362;1277
2022;Kuwait;39;48;427;250
2022;Kyrgyzstan;124;68;2155;934
2022;Lebanon;589;426;7233;1875
2022;Pakistan;365;318;9307;1135
2022;Philippines;398;542;6536;2889
2022;Korea, Republic of;238;260;6198;3995
2022;United Arab Emirates;909;1863;3592;3231
2022;Tajikistan;20;13;2456;675
2022;Saudi Arabia;150;311;1179;1143
2022;Singapore;525;566;1583;1137
2022;Syrian;156;88;68321;752
2022;Thailand;1092;2057;4524;3904
2022;Uzbekistan;33;40;1917;823
2022;China;1949;1011;15654;11281
2022;Australia;1623;2856;3528;4718
2022;New Zealand;500;767;899;1118
